model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 GT86,2016,16000,Manual,24089,Petrol,265,36.2,2.0
 GT86,2017,15995,Manual,18615,Petrol,145,36.2,2.0
 GT86,2015,13998,Manual,27469,Petrol,265,36.2,2.0
 GT86,2017,17995,Manual,16444,Petrol,265,36.2,2.0
 GT86,2014,12998,Manual,25499,Petrol,260,36.2,2.0
 GT86,2019,23495,Automatic,3934,Petrol,145,32.8,2.0
 GT86,2019,25780,Manual,5123,Petrol,145,33.2,2.0
 GT86,2020,26995,Semi-Auto,1500,Petrol,145,32.8,2.0
 GT86,2019,23998,Semi-Auto,913,Petrol,145,32.8,2.0
 GT86,2019,26995,Manual,2680,Petrol,150,33.2,2.0
 GT86,2017,17000,Manual,14345,Petrol,150,36.2,2.0
 GT86,2018,19995,Manual,15525,Petrol,150,36.2,2.0
 Corolla,2019,15790,Manual,10000,Petrol,145,39.2,1.2
 Corolla,2019,17480,Manual,9999,Petrol,145,39.2,1.2
 Corolla,2020,24980,Automatic,5000,Hybrid,135,57.7,1.8
 Corolla,2019,18990,Manual,3860,Petrol,145,39.2,1.2
 Corolla,2019,21495,Automatic,9004,Hybrid,135,85.6,1.8
 Corolla,2019,17960,Manual,4500,Petrol,145,39.2,1.2
 Corolla,2019,17960,Manual,4500,Petrol,145,39.2,1.2
 Corolla,2019,23995,Automatic,5784,Hybrid,135,72.4,2.0
 RAV4,2016,17250,Automatic,60602,Hybrid,20,55.4,2.5
 RAV4,2016,18695,Automatic,46035,Hybrid,20,55.4,2.5
 RAV4,2017,13998,Manual,32815,Diesel,125,60.1,2.0
 RAV4,2014,9780,Manual,88870,Diesel,125,57.6,2.0
 RAV4,2016,18998,Automatic,30117,Hybrid,20,57.6,2.5
 RAV4,2015,10995,Manual,63000,Diesel,165,49.6,2.2
 RAV4,2017,22995,Automatic,28486,Hybrid,20,55.4,2.5
 RAV4,2016,19490,Automatic,30000,Hybrid,20,57.6,2.5
 RAV4,2015,12480,Automatic,45848,Diesel,265,42.2,2.2
 Yaris,2019,10870,Manual,4988,Petrol,145,47.9,1.5
 Yaris,2019,10870,Manual,5026,Petrol,145,47.9,1.5
 Yaris,2017,9550,Manual,23500,Petrol,150,58.9,1.5
 Yaris,2008,2495,Manual,120000,Petrol,165,47.1,1.3
 Yaris,2016,10989,Automatic,31482,Hybrid,0,78.0,1.5
 Yaris,2017,8940,Manual,19540,Petrol,145,58.9,1.5
 Yaris,2015,7695,Manual,31649,Petrol,30,58.0,1.3
 Yaris,2019,11380,Manual,6000,Petrol,145,47.9,1.5
 Yaris,2018,11998,Manual,6899,Petrol,145,47.1,1.5
 Yaris,2019,12622,Manual,6598,Petrol,145,47.9,1.5
 Yaris,2010,3695,Manual,73390,Petrol,30,55.4,1.0
 Yaris,2006,2795,Manual,86000,Petrol,155,47.1,1.3
 Yaris,2005,2795,Manual,48830,Petrol,145,50.4,1.3
 Yaris,2008,3495,Manual,55380,Petrol,115,52.3,1.0
 Yaris,2016,8950,Manual,9000,Petrol,30,58.0,1.3
 Yaris,2016,10250,Automatic,6000,Petrol,30,58.0,1.3
 Auris,2017,10495,Manual,24842,Petrol,145,58.9,1.2
 Auris,2016,11295,Automatic,50211,Hybrid,0,72.4,1.8
 Auris,2016,15911,Automatic,31348,Hybrid,0,70.6,1.8
 Auris,2014,11873,Automatic,54106,Hybrid,0,70.6,1.8
 Auris,2017,16872,Automatic,27055,Hybrid,0,78.5,1.8
 Auris,2017,16791,Automatic,29201,Hybrid,0,72.4,1.8
 Aygo,2019,8490,Manual,9059,Petrol,145,57.7,1.0
 Aygo,2019,9790,Manual,1472,Petrol,145,57.7,1.0
 Aygo,2019,9490,Manual,1424,Petrol,145,57.7,1.0
 Aygo,2019,9490,Manual,1614,Petrol,145,56.5,1.0
 Aygo,2019,9490,Manual,1114,Petrol,145,56.5,1.0
 Aygo,2019,9490,Manual,1208,Petrol,145,56.5,1.0
 Aygo,2017,6290,Manual,22181,Petrol,0,69.0,1.0
 Aygo,2016,6720,Manual,23357,Petrol,0,69.0,1.0
 Aygo,2014,5590,Manual,37430,Petrol,0,69.0,1.0
 Aygo,2015,6290,Manual,27700,Petrol,0,69.0,1.0
 Aygo,2019,8790,Manual,2570,Petrol,145,56.5,1.0
 Aygo,2019,8790,Manual,3116,Petrol,145,56.5,1.0
 Aygo,2018,6595,Manual,28335,Petrol,145,69.0,1.0
 Aygo,2018,6995,Manual,20294,Petrol,150,69.0,1.0
 Aygo,2018,8790,Manual,9599,Petrol,145,56.5,1.0
 Aygo,2015,6495,Manual,17872,Petrol,0,69.0,1.0
 Aygo,2018,9995,Semi-Auto,25148,Petrol,150,67.3,1.0
 Aygo,2019,8790,Manual,2106,Petrol,145,56.5,1.0
 Aygo,2019,7890,Manual,6183,Petrol,145,56.5,1.0
 Aygo,2018,9990,Manual,3452,Petrol,145,56.5,1.0
 Aygo,2019,8790,Manual,2540,Petrol,145,56.5,1.0
 Aygo,2015,5990,Manual,19856,Petrol,0,69.0,1.0
 Aygo,2018,8490,Manual,10125,Petrol,150,68.9,1.0
 Aygo,2017,7990,Manual,25318,Petrol,0,68.9,1.0
 Aygo,2017,6995,Manual,36473,Petrol,0,68.9,1.0
 Aygo,2015,5795,Manual,25688,Petrol,0,69.0,1.0
 Aygo,2018,7490,Manual,19506,Petrol,145,69.0,1.0
 Aygo,2018,7895,Manual,11932,Petrol,145,68.9,1.0
 Aygo,2014,6495,Manual,26858,Petrol,0,69.0,1.0
 Aygo,2018,9695,Semi-Auto,9484,Petrol,145,67.3,1.0
 Aygo,2017,7190,Manual,21596,Petrol,145,69.0,1.0
 Aygo,2018,8490,Manual,9280,Petrol,150,68.9,1.0
 Aygo,2015,5795,Manual,34182,Petrol,0,69.0,1.0
 Aygo,2017,6495,Manual,27372,Petrol,0,69.0,1.0
 Aygo,2018,7495,Manual,27537,Petrol,145,68.9,1.0
 Aygo,2017,6995,Manual,15048,Petrol,145,68.9,1.0
 Aygo,2017,6995,Manual,21561,Petrol,145,69.0,1.0
 Aygo,2015,5990,Manual,32674,Petrol,0,69.0,1.0
 Aygo,2016,7990,Manual,37555,Petrol,0,69.0,1.0
 Aygo,2018,7490,Manual,21971,Petrol,150,69.0,1.0
 Aygo,2017,7295,Manual,14923,Petrol,145,68.9,1.0
 Aygo,2018,6895,Manual,17757,Petrol,145,69.0,1.0
 Aygo,2018,6895,Manual,19057,Petrol,145,69.0,1.0
 Aygo,2018,7995,Manual,24807,Petrol,145,68.9,1.0
 Aygo,2017,7195,Manual,13765,Petrol,145,68.9,1.0
 Aygo,2017,7290,Manual,25912,Petrol,0,68.9,1.0
 Aygo,2019,9995,Manual,6130,Petrol,145,57.7,1.0
 Aygo,2019,9495,Manual,5883,Petrol,145,56.5,1.0
 Aygo,2015,5999,Manual,36010,Petrol,0,69.0,1.0
 Aygo,2015,6040,Manual,31570,Petrol,0,69.0,1.0
 Aygo,2016,6030,Manual,15416,Petrol,0,69.0,1.0
 Aygo,2014,6250,Manual,35256,Petrol,0,69.0,1.0
 Aygo,2018,8260,Manual,9813,Petrol,145,56.5,1.0
 Aygo,2017,7990,Semi-Auto,19526,Petrol,150,67.0,1.0
 Aygo,2017,6190,Manual,37500,Petrol,150,69.0,1.0
 Aygo,2017,6730,Manual,15453,Petrol,0,69.0,1.0
 Aygo,2015,6100,Manual,24317,Petrol,0,69.0,1.0
 Aygo,2016,5999,Manual,31430,Petrol,0,69.0,1.0
 Aygo,2017,6695,Manual,49000,Petrol,0,68.9,1.0
 Aygo,2016,6995,Manual,11395,Petrol,0,69.0,1.0
 Aygo,2019,8890,Manual,8121,Petrol,145,56.5,1.0
 Aygo,2014,5990,Manual,23332,Petrol,0,69.0,1.0
 Aygo,2016,6750,Manual,33691,Petrol,0,69.0,1.0
 Aygo,2015,5850,Manual,28531,Petrol,0,69.0,1.0
 Aygo,2016,6690,Manual,34211,Petrol,0,69.0,1.0
 Aygo,2015,5698,Manual,25152,Petrol,0,69.0,1.0
 Aygo,2015,6460,Manual,31234,Petrol,0,69.0,1.0
 Aygo,2019,11695,Manual,5346,Petrol,145,57.7,1.0
 Aygo,2017,7270,Manual,10500,Petrol,145,68.9,1.0
 Aygo,2017,7490,Manual,22972,Petrol,0,68.9,1.0
 Aygo,2018,7590,Manual,21421,Petrol,150,68.9,1.0
 Aygo,2017,7490,Manual,14281,Petrol,145,68.9,1.0
 Aygo,2017,7290,Semi-Auto,52496,Petrol,0,67.0,1.0
 Aygo,2017,7980,Semi-Auto,15439,Petrol,150,67.0,1.0
 Aygo,2017,6790,Manual,32251,Petrol,0,68.9,1.0
 Aygo,2018,10290,Semi-Auto,372,Petrol,150,67.3,1.0
 Aygo,2017,6990,Manual,3282,Petrol,150,69.0,1.0
 Aygo,2018,7995,Manual,20001,Petrol,145,68.9,1.0
 Aygo,2019,12995,Semi-Auto,3868,Petrol,150,56.5,1.0
 Aygo,2015,6495,Manual,38153,Petrol,0,69.0,1.0
 Aygo,2017,6695,Manual,27884,Petrol,145,69.0,1.0
 Aygo,2017,8295,Manual,10890,Petrol,145,68.9,1.0
 Aygo,2017,7395,Manual,32589,Petrol,145,68.9,1.0
 Aygo,2018,7995,Manual,10119,Petrol,150,69.0,1.0
 Aygo,2017,8200,Manual,17571,Petrol,0,68.9,1.0
 Aygo,2018,9995,Manual,5441,Petrol,150,56.5,1.0
 Aygo,2017,6995,Manual,26114,Petrol,150,69.0,1.0
 Aygo,2018,8495,Manual,5051,Petrol,145,68.9,1.0
 Aygo,2018,9295,Manual,9411,Petrol,145,56.5,1.0
 Aygo,2016,6190,Manual,15980,Petrol,0,69.0,1.0
 Aygo,2018,7790,Manual,20323,Petrol,145,68.9,1.0
 Aygo,2016,8290,Manual,10837,Petrol,0,69.0,1.0
 Aygo,2020,9480,Manual,10000,Petrol,145,56.5,1.0
 Aygo,2018,13881,Manual,12447,Petrol,150,56.5,1.0
 Aygo,2018,8995,Manual,6877,Petrol,150,56.5,1.0
 Aygo,2019,9895,Manual,3784,Petrol,145,57.7,1.0
 Aygo,2016,6295,Manual,29926,Petrol,0,69.0,1.0
 Aygo,2017,7995,Manual,22458,Petrol,145,68.9,1.0
 Aygo,2019,10795,Semi-Auto,4848,Petrol,145,56.5,1.0
 Aygo,2018,8195,Manual,23741,Petrol,145,56.5,1.0
 Aygo,2017,6995,Manual,12114,Petrol,145,69.0,1.0
 Aygo,2017,6795,Manual,21913,Petrol,145,69.0,1.0
 Aygo,2019,10195,Manual,2114,Petrol,145,57.7,1.0
 Aygo,2017,8495,Semi-Auto,12984,Petrol,145,67.0,1.0
 Aygo,2019,9995,Semi-Auto,5933,Petrol,145,56.5,1.0
 Aygo,2019,11250,Semi-Auto,2014,Petrol,145,55.4,1.0
 Aygo,2018,7895,Manual,27441,Petrol,145,68.9,1.0
 Aygo,2016,5998,Manual,41293,Petrol,0,69.0,1.0
